Instance,Time,Cost,Facility Open Status,Customer Status
1,7876ms,9122,1 1 1 1 1 1 1 0 1 1 ,0 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 2 0 9 4 3 4 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 3 4 1 8 1 5 4 0 4 0 4 0 
2,7750ms,8038,1 1 1 1 1 1 1 0 1 1 ,8 2 1 6 3 8 2 4 4 1 9 8 3 2 0 3 4 0 9 4 3 4 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 2 1 8 1 5 4 0 4 0 4 0 
3,8082ms,9871,1 1 1 1 1 1 0 1 1 1 ,8 2 1 5 3 8 2 4 4 1 9 0 3 2 8 3 4 0 9 7 3 4 9 4 2 5 1 5 0 5 2 5 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
4,8181ms,11922,1 1 1 1 1 0 1 1 1 1 ,8 2 1 6 3 8 2 4 4 1 9 0 3 2 8 3 4 0 9 7 3 4 6 4 2 6 0 1 0 1 2 6 0 2 9 4 4 3 0 4 3 8 1 6 7 0 4 0 4 3 
5,7886ms,9406,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 7 3 0 4 1 8 1 5 7 0 2 0 4 1 
6,7901ms,8085,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 4 2 1 9 8 3 4 8 3 2 0 9 7 3 7 6 4 2 5 1 5 8 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 2 0 7 0 
7,8036ms,10033,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 9 4 1 9 8 3 2 8 3 2 0 9 7 3 7 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 8 4 1 8 1 5 7 0 4 0 7 0 
8,7503ms,12096,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 0 3 2 8 3 2 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 2 1 8 1 5 7 8 4 3 4 0 
9,8594ms,8823,1 1 1 1 1 1 1 0 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 4 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 4 0 4 0 2 0 
10,9250ms,7648,1 1 1 1 1 0 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 4 1 8 1 6 7 0 4 0 4 0 
11,8607ms,9726,1 1 1 1 1 1 1 1 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 7 3 8 6 4 2 5 1 5 0 5 2 6 0 3 9 4 4 3 0 4 1 8 1 5 7 0 4 0 4 0 
12,8947ms,10893,1 1 1 1 1 0 1 0 1 1 ,8 8 1 6 3 8 2 4 4 1 9 8 3 2 8 3 4 0 9 4 3 8 6 4 2 6 1 1 0 1 2 6 0 3 9 4 4 3 0 2 1 8 1 6 4 0 4 0 4 0 
13,12246ms,10799,1 1 0 1 1 0 0 1 0 0 0 0 1 1 1 1 1 0 0 1 ,16 12 7 16 1 12 3 13 14 4 15 4 1 7 13 12 15 7 4 3 12 15 15 19 14 4 16 3 1 4 13 7 13 16 3 7 3 19 19 13 14 0 0 0 3 13 14 7 19 3 
14,11102ms,7634,0 1 0 1 1 1 1 0 0 0 1 0 0 1 1 1 1 1 0 1 ,16 1 10 10 1 15 17 13 14 17 15 4 1 6 13 3 15 10 4 6 14 15 15 19 6 17 16 17 1 17 13 15 13 16 3 10 3 1 19 13 6 16 5 16 3 5 14 10 19 6 
15,10826ms,10074,0 1 0 0 1 0 1 0 0 0 1 1 1 1 0 1 1 1 1 0 ,16 12 10 10 1 18 17 13 12 17 15 4 1 6 13 11 15 10 4 6 12 15 15 13 6 17 16 17 1 17 13 15 18 16 1 10 11 1 1 13 6 16 15 16 11 13 12 10 4 6 
16,10469ms,13395,1 1 0 1 0 1 0 1 0 1 0 1 1 0 0 1 0 0 1 1 ,0 12 7 7 1 18 3 18 12 3 15 19 1 9 18 3 15 7 1 9 12 15 15 19 9 1 0 3 1 3 18 7 18 0 3 7 11 19 19 18 9 0 5 0 11 5 12 7 19 9 
17,10425ms,8902,1 1 1 1 0 0 1 0 0 0 1 0 0 1 1 1 0 1 0 0 ,0 1 10 10 1 15 17 13 14 17 15 1 1 6 13 3 15 10 17 6 14 15 15 2 6 17 0 17 1 17 13 15 2 0 3 10 3 1 1 13 6 0 0 15 3 13 14 10 2 6 
